year,minister,ngram,count,score
2017,Arístides Rodrigo Guerrero García,novecientos setenta,5,0.0042373667519213214
2017,Arístides Rodrigo Guerrero García,actos juridicos,5,0.0042373667519213214
2017,Arístides Rodrigo Guerrero García,local juridico,5,0.0042373667519213214
2017,Arístides Rodrigo Guerrero García,larrea jorge,5,0.0042373667519213214
2017,Arístides Rodrigo Guerrero García,completo recurso,5,0.0042373667519213214
2017,Arístides Rodrigo Guerrero García,2011 unanimidad,7,0.004146509159749246
2017,Arístides Rodrigo Guerrero García,municipio san,9,0.003988132218967031
2018,Arístides Rodrigo Guerrero García,humanos estado,31,0.015393603166447148
2018,Arístides Rodrigo Guerrero García,comision derechos,33,0.008568277451532432
2018,Arístides Rodrigo Guerrero García,segundo penal,15,0.005206290421934765
2018,Arístides Rodrigo Guerrero García,eduardo lopez,8,0.003972542752631522
2018,Arístides Rodrigo Guerrero García,filial vinculo,8,0.003972542752631522
2018,Arístides Rodrigo Guerrero García,vinculo personal,8,0.003972542752631522
2018,Arístides Rodrigo Guerrero García,personal familiar,8,0.003972542752631522
2018,Arístides Rodrigo Guerrero García,disidente eduardo,7,0.003475974908552582
2018,Arístides Rodrigo Guerrero García,lopez perez,7,0.003475974908552582
2018,Arístides Rodrigo Guerrero García,2006 mayoria,6,0.0029794070644736416
2019,Arístides Rodrigo Guerrero García,juicios promovidos,40,0.01628419443418703
2019,Arístides Rodrigo Guerrero García,circuitos saber,32,0.013027355547349623
2019,Arístides Rodrigo Guerrero García,promovidos ese,28,0.011398936103930921
2019,Arístides Rodrigo Guerrero García,ese circuitos,28,0.011398936103930921
2019,Arístides Rodrigo Guerrero García,juicios desechados,24,0.009770516660512218
2019,Arístides Rodrigo Guerrero García,cuantos juicios,24,0.006829298072563368
2019,Arístides Rodrigo Guerrero García,siguiente cuantos,16,0.0065136777736748116
2019,Arístides Rodrigo Guerrero García,saber cuantos,16,0.0065136777736748116
2019,Arístides Rodrigo Guerrero García,saber juicios,16,0.0065136777736748116
2019,Arístides Rodrigo Guerrero García,cuantos concedio,16,0.0065136777736748116
2020,Arístides Rodrigo Guerrero García,fernando gutierrez,6,0.006832596715115863
2020,Arístides Rodrigo Guerrero García,gutierrez garcia,6,0.006832596715115863
2020,Arístides Rodrigo Guerrero García,atenta certificadas,4,0.004555064476743908
2020,Arístides Rodrigo Guerrero García,certificadas triplicado,4,0.004555064476743908
2020,Arístides Rodrigo Guerrero García,ing fernando,4,0.004555064476743908
2020,Arístides Rodrigo Guerrero García,retiro jose,4,0.004555064476743908
2020,Arístides Rodrigo Guerrero García,entre jueces,5,0.003979816796325668
2020,Arístides Rodrigo Guerrero García,aprobacion cuenta,3,0.0034162983575579315
2020,Arístides Rodrigo Guerrero García,cuenta ejecutivo,3,0.0034162983575579315
2020,Arístides Rodrigo Guerrero García,tres senores,3,0.0034162983575579315
2021,Arístides Rodrigo Guerrero García,cuatro maria,8,0.0056557202161352065
2021,Arístides Rodrigo Guerrero García,salmoran tamayo,15,0.005544854794255156
2021,Arístides Rodrigo Guerrero García,calleja garcia,9,0.004447326131994751
2021,Arístides Rodrigo Guerrero García,cristina salmoran,12,0.004435883835404124
2021,Arístides Rodrigo Guerrero García,volumenes 187-192,6,0.004241790162101405
2021,Arístides Rodrigo Guerrero García,1979 unanimidad,6,0.004241790162101405
2021,Arístides Rodrigo Guerrero García,estado debe,5,0.0035348251350845036
2021,Arístides Rodrigo Guerrero García,1984 unanimidad,7,0.0034590314359959173
2021,Arístides Rodrigo Guerrero García,volumen lix,7,0.0034590314359959173
2021,Arístides Rodrigo Guerrero García,lix 225,7,0.0034590314359959173
